Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,28
design__inferred_latch__count,0
design__instance__count,82395
design__instance__area,3.43004E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_5v00,24
design__max_fanout_violation__count__corner:nom_tt_025C_5v00,5
design__max_cap_violation__count__corner:nom_tt_025C_5v00,0
power__internal__total,0.18073433637619019
power__switching__total,0.08680597692728043
power__leakage__total,0.000015432156942551956
power__total,0.26755574345588684
clock__skew__worst_hold__corner:nom_tt_025C_5v00,-1.1767571694596732
clock__skew__worst_setup__corner:nom_tt_025C_5v00,1.198711830392556
timing__hold__ws__corner:nom_tt_025C_5v00,1.0590808529932558
timing__setup__ws__corner:nom_tt_025C_5v00,20.51345640303939
timing__hold__tns__corner:nom_tt_025C_5v00,0.0
timing__setup__tns__corner:nom_tt_025C_5v00,0.0
timing__hold__wns__corner:nom_tt_025C_5v00,0
timing__setup__wns__corner:nom_tt_025C_5v00,0.0
timing__hold_vio__count__corner:nom_tt_025C_5v00,0
timing__hold_r2r__ws__corner:nom_tt_025C_5v00,1.059081
timing__hold_r2r_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_r2r__ws__corner:nom_tt_025C_5v00,20.513456
timing__setup_r2r_vio__count__corner:nom_tt_025C_5v00,0
design__max_slew_violation__count__corner:nom_ss_125C_4v50,775
design__max_fanout_violation__count__corner:nom_ss_125C_4v50,5
design__max_cap_violation__count__corner:nom_ss_125C_4v50,0
clock__skew__worst_hold__corner:nom_ss_125C_4v50,-1.5050840999516053
clock__skew__worst_setup__corner:nom_ss_125C_4v50,1.536046888716459
timing__hold__ws__corner:nom_ss_125C_4v50,2.4198927990821564
timing__setup__ws__corner:nom_ss_125C_4v50,5.302219258173379
timing__hold__tns__corner:nom_ss_125C_4v50,0.0
timing__setup__tns__corner:nom_ss_125C_4v50,0.0
timing__hold__wns__corner:nom_ss_125C_4v50,0
timing__setup__wns__corner:nom_ss_125C_4v50,0.0
timing__hold_vio__count__corner:nom_ss_125C_4v50,0
timing__hold_r2r__ws__corner:nom_ss_125C_4v50,2.419893
timing__hold_r2r_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_r2r__ws__corner:nom_ss_125C_4v50,5.302219
timing__setup_r2r_vio__count__corner:nom_ss_125C_4v50,0
design__max_slew_violation__count__corner:nom_ff_n40C_5v50,10
design__max_fanout_violation__count__corner:nom_ff_n40C_5v50,5
design__max_cap_violation__count__corner:nom_ff_n40C_5v50,0
clock__skew__worst_hold__corner:nom_ff_n40C_5v50,-1.0245420357649475
clock__skew__worst_setup__corner:nom_ff_n40C_5v50,1.0425913760759589
timing__hold__ws__corner:nom_ff_n40C_5v50,0.4009490630772119
timing__setup__ws__corner:nom_ff_n40C_5v50,27.242225246716544
timing__hold__tns__corner:nom_ff_n40C_5v50,0.0
timing__setup__tns__corner:nom_ff_n40C_5v50,0.0
timing__hold__wns__corner:nom_ff_n40C_5v50,0
timing__setup__wns__corner:nom_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:nom_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:nom_ff_n40C_5v50,0.400949
timing__hold_r2r_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:nom_ff_n40C_5v50,27.242226
timing__setup_r2r_vio__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count,1385
design__max_fanout_violation__count,5
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.9903904643385807
clock__skew__worst_setup,1.0066987528531344
timing__hold__ws,0.3286560006057377
timing__setup__ws,3.6788599874389365
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.328656
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,3.678860
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 2343.3 1679.76
design__core__bbox,40.32 43.12 2303.28 1638.56
design__io,236
design__die__area,3.93618E+6
design__core__area,3.61042E+6
design__instance__count__stdcell,34444
design__instance__area__stdcell,686667
design__instance__count__macros,10
design__instance__area__macros,1.96963E+6
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.735731
design__instance__utilization__stdcell,0.418498
design__rows,666
design__rows:GF018hv5v_mcu_sc7,666
design__sites,665274
design__sites:GF018hv5v_mcu_sc7,665274
design__instance__count__class:macro,10
design__instance__area__class:macro,1.96963E+6
design__instance__count__class:tie_cell,3
design__instance__area__class:tie_cell,26.3424
design__instance__count__class:inverter,449
design__instance__area__class:inverter,4109.41
design__instance__count__class:sequential_cell,1627
design__instance__area__class:sequential_cell,116732
design__instance__count__class:multi_input_combinational_cell,11380
design__instance__area__class:multi_input_combinational_cell,258810
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:IFP-0028,1
flow__warnings__count:ODB-0220,18
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,1332
design__instance__area__class:endcap_cell,5848.01
design__instance__count__class:tap_cell,9626
design__instance__area__class:tap_cell,42262
flow__warnings__count:PDN-0110,20
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count,0
flow__warnings__count:GRT-0281,2
design__max_slew_violation__count__corner:max_ss_125C_4v50,1385
design__max_fanout_violation__count__corner:max_ss_125C_4v50,5
design__max_cap_violation__count__corner:max_ss_125C_4v50,0
clock__skew__worst_hold__corner:max_ss_125C_4v50,-1.5995161203832624
clock__skew__worst_setup__corner:max_ss_125C_4v50,1.6330275371955254
timing__hold__ws__corner:max_ss_125C_4v50,2.5960399009725443
timing__setup__ws__corner:max_ss_125C_4v50,3.6788599874389365
timing__hold__tns__corner:max_ss_125C_4v50,0.0
timing__setup__tns__corner:max_ss_125C_4v50,0.0
timing__hold__wns__corner:max_ss_125C_4v50,0
timing__setup__wns__corner:max_ss_125C_4v50,0.0
timing__hold_vio__count__corner:max_ss_125C_4v50,0
timing__hold_r2r__ws__corner:max_ss_125C_4v50,2.596040
timing__hold_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__setup_vio__count__corner:max_ss_125C_4v50,0
timing__setup_r2r__ws__corner:max_ss_125C_4v50,3.678860
timing__setup_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,57361.3
design__instance__displacement__mean,1.668
design__instance__displacement__max,255.193
route__wirelength__estimated,1.82685E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,9684
design__instance__area__class:timing_repair_buffer,238838
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,24
